residue	time_spent
155583651731565	59.774000
564777524592187	48.860000
563136840614426	48.905000
675422757754901	48.918000
434839223023680	48.851000
573824908428678	49.230000
102974391453910	48.884000
145537683881026	49.009000
637240348927974	49.150000
312848789596594	48.150000
557705833241392	49.603000
236653624075304	48.498000
1013721475443737	47.903000
74548039126186	48.209000
121404168105435	49.286000
34873123399099	49.195000
176077168437845	47.532000
157561491885783	48.750000
575422642716690	49.290000
130771528602140	49.023000
195692360701794	49.464000
78825843275965	49.914000
714492080353727	48.974000
58351654023354	49.219000
69370435798432	49.123000
1231799293105488	48.598000
166145017523195	49.219000
185839667270354	48.892000
274522498894654	48.052000
350466407803896	48.749000
439196484387769	48.578000
728998389287661	48.545000
594363522644534	49.070000
17983098573713	47.225000
488552294215798	48.160000
507454519286715	48.928000
512840429251027	48.702000
311616129175830	48.666000
154056784824125	49.236000
334132583260183	49.349000
52929236534489	49.135000
27039072311198	49.394000
36728556615640	50.282000
583737731973704	49.797000
132659173989361	49.414000
350874431209652	49.417000
3889108147277	49.462000
410398615859511	49.191000
88485262506819	49.558000
1075573541427015	49.584000
564730279817473	49.607000
1260829090775316	49.324000
3781733527893	49.107000
143714463087292	48.695000
28009738836107	48.826000
396244495857313	49.503000
70291709812893	49.181000
27814317051036	48.299000
186894085775207	47.164000
285159027034134	49.284000
804708221554889	49.499000
116059060296814	49.371000
1489760333433422	49.253000
24361149781797	48.593000
41328484589945	49.176000
247451214127043	47.483000
784369324293118	49.662000
158003875265197	48.730000
1421029850283150	48.287000
176792283114524	48.611000
312380636211704	49.302000
29585998069152	48.665000
203996712456536	48.571000
647582670648002	48.793000
450947560843158	48.868000
46604872468039	49.064000
981588551784693	48.302000
754892848411030	48.680000
578504293903018	48.975000
509419474421404	47.654000
624048305213595	50.221000
24554423948785	49.012000
61914343227554	48.854000
244661621792479	48.905000
194079594045070	48.525000
116374741704013	49.191000
269304093243115	49.394000
314506653409925	48.986000
291524193457971	49.113000
1236225274484141	48.267000
73001844815504	50.538000
229472410671889	47.801000
151363829858760	48.887000
625480682302695	48.685000
597415108774087	50.383000
1305142589300037	48.646000
33618988007417	48.978000
1214761091370567	49.264000
532389049538696	48.569000
118668263215027	45.904000
