residue	time_spent
163821431140277	16.175000
60116892388861	16.885000
47131008012248	15.713000
225664907272988	15.855000
233793164696316	16.933000
632567406156682	15.927000
274921932567494	16.719000
7980080496988	16.779000
91474571442507	16.825000
56017330205396	16.735000
179341356272096	15.672000
916912533711698	15.744000
412576172934176	15.790000
2291386903886016	16.108000
653520486178796	15.764000
404205248984649	15.814000
588586768992385	15.771000
128886030312023	15.717000
95971419915987	16.279000
210879424473193	15.971000
120740593120345	15.724000
526577935845657	15.928000
334963662726140	15.728000
159234388168696	15.293000
116956712125606	15.619000
204619485117873	15.534000
84207458340227	17.069000
56285766787462	15.773000
632071335534808	15.862000
370128845128264	16.289000
2231244233100	16.929000
10898522102543	16.284000
151868490482462	16.409000
25200819266379	15.818000
379455402981893	16.566000
44996400997098	16.093000
667968812667678	16.852000
580623868482228	15.873000
317478782375587	15.774000
536834358085305	15.737000
64373221752569	16.405000
1952302203971871	15.766000
703896354890945	16.324000
170470066514928	15.709000
251829950327622	16.649000
357666948728200	16.448000
218262502079034	16.012000
718696869992248	16.868000
331845504032064	16.427000
2289226577318	16.002000
427013762021632	15.866000
207308145149538	15.964000
46671444679629	16.169000
10883489834641	16.556000
154866389184680	15.611000
53141838340033	15.535000
634805092840731	15.917000
353277474874096	15.886000
1156800280917395	15.867000
137523243511222	15.859000
1128330978647807	16.521000
98681554716918	15.699000
1367574478254859	15.918000
318174569800281	16.497000
188517589732523	16.442000
59129046162810	16.641000
210757017451475	16.434000
71736972022376	16.902000
228016411077777	16.865000
401812942738456	16.715000
455665600955944	16.649000
173521652745299	16.441000
349568756059137	17.171000
24133515691566	16.859000
30578139228867	15.975000
568009500104493	17.053000
11115418690498	16.205000
754699574109586	15.893000
272183880227033	16.079000
751343044007886	15.817000
548725021465210	15.930000
327629977328249	16.551000
179779444566561	15.673000
65079746511473	15.958000
7342275315670	15.986000
775901763108836	16.703000
1792784346970040	15.935000
238573482019768	16.737000
814494342808357	15.787000
112401881543190	16.521000
265047764064266	16.603000
711556458744532	15.813000
330245622714200	16.245000
576369686669387	15.845000
299905855044210	15.869000
427806186580235	15.716000
224333462201050	15.858000
122471471663423	16.207000
79285406440542	15.838000
408122274335340	15.805000
