residue	time_spent
1239102871693	0.060000
18043228250321	0.051000
4073792430100	0.048000
7140411096451	0.047000
3704423780433	0.047000
412318473888	0.046000
4217674456382	0.046000
1348624991533	0.047000
5351550192338	0.047000
1406607251710	0.045000
1638536460508	0.054000
2673627646140	0.043000
1685781252023	0.044000
811752012276	0.044000
461710782668	0.043000
822489430511	0.044000
12884901882	0.044000
2443845920989	0.043000
5551266911105	0.043000
133144507193	0.043000
1423787255358	0.043000
554052982905	0.043000
1432377223564	0.044000
9386687765511	0.043000
1483916999182	0.044000
2089509774514	0.043000
1017911249220	0.044000
1067303574809	0.043000
2068034853999	0.045000
27917421883	0.043000
70867229295	0.044000
496070689110	0.043000
588412838920	0.042000
4898429394685	0.042000
2581285445903	0.043000
4642877798534	0.043000
337156260490	0.041000
715114811127	0.041000
708672376995	0.041000
901946695248	0.042000
5684411468725	0.043000
1642831410993	0.044000
884766742027	0.042000
115964604399	0.042000
1481769498726	0.043000
1541899326595	0.042000
2098099759529	0.042000
113817087134	0.042000
167504363208	0.042000
3788175995655	0.041000
169651897282	0.042000
12554238533069	0.042000
788129591305	0.041000
2519008168005	0.047000
854701836497	0.064000
229781691533	0.036000
558347899772	0.036000
75162196589	0.036000
115964537163	0.035000
2377273726224	0.035000
470300734065	0.035000
2445993471872	0.037000
1082336010765	0.037000
1376542413416	0.036000
15161293849972	0.035000
4303574071206	0.035000
328566309093	0.035000
801014543614	0.035000
2334323868385	0.036000
803162027261	0.035000
375811117417	0.036000
163209379105	0.037000
459563315830	0.036000
843964401453	0.035000
47244841942	0.034000
543315463816	0.036000
3455314752886	0.037000
1108105898574	0.036000
989993827337	0.035000
837521883276	0.035000
1468884546417	0.035000
429498376682	0.036000
167504380017	0.037000
433793411212	0.035000
3272777852868	0.037000
2516860717976	0.035000
893356710233	0.035000
1163940641486	0.035000
244814127489	0.035000
1756648481318	0.035000
17179919603	0.036000
4582748037901	0.036000
103079652090	0.036000
1050123587970	0.034000
1387279865269	0.035000
3401627443194	0.034000
1172530626501	0.035000
1737321061259	0.036000
3448872234709	0.036000
5881980720654	0.035000
