residue	time_spent
2147450033	420.071000
33614	415.264000
0	427.366000
2147416419	409.659000
50423	411.990000
4	409.415000
2147534070	405.323000
50423	407.822000
16805	407.138000
6442467742	405.231000
4294967298	409.382000
4294967290	419.734000
4294933680	413.330000
16801	424.723000
33614	422.730000
2147433228	414.968000
4294933684	414.494000
2147534070	417.642000
50427	411.658000
16805	418.781000
8	417.898000
50423	402.721000
2147517265	398.922000
50419	407.762000
4294900062	395.535000
2147500456	400.901000
33614	403.320000
2147399614	401.325000
2147584489	401.967000
2147500460	399.092000
6442434140	410.425000
16801	407.438000
8	407.242000
2147433224	410.291000
2147500456	398.161000
2147399610	392.179000
0	393.042000
16801	401.814000
2147349187	395.348000
16805	391.431000
67232	399.706000
4295068136	402.260000
2147500456	399.645000
4	406.914000
2147483651	403.183000
33614	407.825000
2147466830	408.605000
6442501368	407.894000
16801	408.148000
2147433224	411.275000
2147483643	417.371000
2147416419	412.045000
4294967294	414.876000
16805	416.505000
2147433224	409.641000
8589934588	411.804000
16809	421.312000
33610	410.191000
16805	414.428000
67232	418.576000
4	407.775000
6442484559	405.842000
50419	410.724000
16809	419.695000
2147550875	412.828000
33614	407.023000
4294900062	405.112000
2147483643	409.732000
8589951401	407.172000
4294916875	401.259000
2147382805	402.212000
2147534074	402.724000
2147450037	405.567000
2147450037	403.408000
2147500452	394.896000
2147433220	408.593000
2147466842	410.754000
4294984107	401.180000
2147550883	404.598000
2147416419	411.842000
4294933680	405.352000
2147534074	402.356000
2147450029	393.737000
4294967294	403.581000
50427	402.580000
0	403.947000
6442467750	414.348000
33610	407.281000
84037	407.683000
16813	401.490000
2147483639	404.737000
2147466838	398.535000
2147399610	402.675000
2147483647	408.101000
50423	399.804000
4294950493	410.531000
4295051335	392.107000
2147450033	401.053000
2147483651	397.723000
4294967298	397.655000
